chosen_core,link_success_prob,sim_time,fidelity,seed,elapsed_time
"(1, 3)",0.01,547.00000000001,0.9999999999999998,1,1.085378792
"(1, 4)",0.01,270.000000000001,0.9999999999999998,2,0.00663425
"(1, 4)",0.01,1007.000000000051,0.9999999999999998,3,0.0070915
"(3, 5)",0.01,188.00000000006008,0.9999999999999998,4,0.021974667
"(1, 5)",0.01,212.000000000001,0.9999999999999998,5,0.005739
"(3, 4)",0.01,222.000000000001,0.9999999999999998,6,0.005141292
"(1, 5)",0.01,274.00000000002603,0.9999999999999998,7,0.006955083
"(2, 4)",0.01,179.000000000006,0.9999999999999998,8,0.005017042
"(2, 4)",0.01,137.000000000005,0.9999999999999998,9,0.00539425
"(2, 4)",0.01,73.000000000006,0.9999999999999998,10,0.005505792
"(2, 5)",0.01,542.000000000101,0.9999999999999998,11,0.007648125
"(1, 5)",0.01,378.0000000000501,0.9999999999999998,12,0.006831166
"(1, 4)",0.01,526.000000000008,0.9999999999999998,13,0.015148708
"(1, 3)",0.01,93.000000000016,0.9999999999999998,14,0.005150375
"(1, 5)",0.01,160.00000000001802,0.9999999999999998,15,0.00507075
"(2, 3)",0.01,168.000000000011,0.9999999999999998,16,0.005551916
"(3, 4)",0.01,241.00000000002302,0.9999999999999998,17,0.0055085
"(3, 4)",0.01,224.000000000003,0.9999999999999998,18,0.007484334
"(2, 5)",0.01,207.00000000010587,0.9999999999999998,19,0.005104125
"(1, 4)",0.01,211.0000000000631,0.9999999999999998,20,0.004985875
"(1, 3)",0.01,204.000000000011,0.9999999999999998,21,0.005842416
"(1, 3)",0.01,97.00000000000401,0.9999999999999998,22,0.00907575
"(3, 4)",0.01,150.000000000019,0.9999999999999998,23,0.005012959
"(2, 5)",0.01,208.000000000004,0.9999999999999998,24,0.004702959
"(1, 5)",0.01,116.00000000002001,0.9999999999999998,25,0.004885666
"(3, 5)",0.01,230.000000000001,0.9999999999999998,26,0.005105375
"(3, 4)",0.01,113.000000000005,0.9999999999999998,27,0.004710667
"(2, 3)",0.01,194.00000000003803,0.9999999999999998,28,0.004711375
"(1, 4)",0.01,117.000000000005,0.9999999999999998,29,0.004819
"(2, 5)",0.01,328.0000000000431,0.9999999999999998,30,0.005602
"(1, 5)",0.01,235.00000000002,0.9999999999999998,31,0.008386208
"(1, 3)",0.01,541.000000000024,0.9999999999999998,32,0.005382083
"(1, 5)",0.01,420.00000000002603,0.9999999999999998,33,0.005990708
"(3, 4)",0.01,545.0000000000521,0.9999999999999998,34,0.006117416
"(2, 5)",0.01,221.000000000019,0.9999999999999998,35,0.005173416
"(1, 3)",0.01,123.00000000001,0.9999999999999998,36,0.004740542
"(1, 3)",0.01,237.00000000007105,0.9999999999999998,37,0.004654292
"(2, 4)",0.01,169.000000000004,0.9999999999999998,38,0.004751666
"(1, 4)",0.01,150.00000000006509,0.9999999999999998,39,0.005633875
"(1, 4)",0.01,231.00000000004206,0.9999999999999998,40,0.009878708
"(1, 3)",0.01,408.000000000018,0.9999999999999998,41,0.005618458
"(2, 3)",0.01,148.00000000005508,0.9999999999999998,42,0.004832459
"(1, 3)",0.01,173.00000000002402,0.9999999999999998,43,0.005700334
"(1, 3)",0.01,262.000000000012,0.9999999999999998,44,0.0068205
"(2, 4)",0.01,277.000000000006,0.9999999999999998,45,0.004645708
"(3, 4)",0.01,419.00000000003206,0.9999999999999998,46,0.006516208
"(3, 4)",0.01,92.000000000011,0.9999999999999998,47,0.005380333
"(2, 5)",0.01,320.000000000015,0.9999999999999998,48,0.005299625
"(3, 4)",0.01,249.00000000004206,0.9999999999999998,49,0.007798708
"(1, 4)",0.01,87.000000000001,0.9999999999999998,50,0.004895917
"(3, 5)",0.01,233.00000000002902,0.9999999999999998,51,0.005279334
"(1, 5)",0.01,182.000000000002,0.9999999999999998,52,0.004619208
"(1, 3)",0.01,134.00000000003,0.9999999999999998,53,0.004912917
"(2, 5)",0.01,77.000000000018,0.9999999999999998,54,0.004566916
"(2, 5)",0.01,165.00000000003703,0.9999999999999998,55,0.00489475
"(1, 3)",0.01,130.000000000001,0.9999999999999998,56,0.00508475
"(1, 3)",0.01,89.000000000003,0.9999999999999998,57,0.005173958
"(2, 4)",0.01,397.000000000012,0.9999999999999998,58,0.009569083
"(3, 4)",0.01,177.000000000019,0.9999999999999998,59,0.005020459
"(1, 3)",0.01,426.000000000018,0.9999999999999998,60,0.00592125
"(1, 3)",0.01,134.00000000001398,0.9999999999999998,61,0.0049945
"(2, 4)",0.01,268.000000000028,0.9999999999999998,62,0.005435875
"(2, 5)",0.01,99.00000000002001,0.9999999999999998,63,0.004767834
"(2, 5)",0.01,114.00000000002302,0.9999999999999998,64,0.0053395
"(1, 3)",0.01,382.000000000011,0.9999999999999998,65,0.005423667
"(2, 4)",0.01,323.000000000009,0.9999999999999998,66,0.005459833
"(3, 5)",0.01,221.000000000007,0.9999999999999998,67,0.008416
"(3, 4)",0.01,104.00000000000401,0.9999999999999998,68,0.005082833
"(2, 4)",0.01,355.000000000001,0.9999999999999998,69,0.004900792
"(1, 5)",0.01,155.00000000005608,0.9999999999999998,70,0.004619
"(2, 5)",0.01,142.00000000003405,0.9999999999999998,71,0.00465675
"(1, 3)",0.01,206.000000000015,0.9999999999999998,72,0.0050875
"(2, 5)",0.01,156.000000000006,0.9999999999999998,73,0.00488975
"(2, 4)",0.01,249.000000000009,0.9999999999999998,74,0.006141125
"(1, 5)",0.01,321.000000000002,0.9999999999999998,75,0.005247667
"(1, 5)",0.01,291.000000000002,0.9999999999999998,76,0.009931667
